TIMESTAMP,CONTRACT,OPEN,HIGH,LOW,CLOSE,TURNOVER
2020-05-04,JLY20,772.8,789.0,760.0,778.5,7270
2020-05-05,JLY20,782.2,788.5,769.3,784.7,6123
2020-05-06,JLY20,782.5,785.5,757.7,765.5,10221
2020-05-07,JLY20,762.7,785.0,762.4,782.1,8290
2020-05-08,JLY20,781.9,801.0,778.7,789.3,7817
2020-05-11,JLY20,789.0,800.6,774.2,781.3,7085
2020-05-12,JLY20,780.2,791.1,770.5,777.4,6436
2020-05-13,JLY20,771.9,781.5,767.5,769.8,7378
2020-05-14,JLY20,775.3,783.9,769.4,775.0,7719
2020-05-15,JLY20,782.8,822.4,780.6,817.1,15957
2020-05-18,JLY20,823.1,877.0,822.7,869.3,20518
2020-05-19,JLY20,861.0,897.3,849.0,889.6,15911
2020-05-20,JLY20,891.1,943.0,889.0,934.5,16958
2020-05-21,JLY20,935.5,937.1,851.3,866.5,18945
2020-05-22,JLY20,864.9,900.6,846.9,886.3,14039
2020-05-26,JLY20,886.0,911.9,867.0,873.3,14289
2020-05-27,JLY20,871.7,883.1,860.3,878.1,9379
2020-05-28,JLY20,881.4,892.0,857.0,868.1,12342
2020-05-29,JLY20,863.8,885.4,847.2,874.6,9950
2020-06-01,JLY20,875.3,906.5,865.4,901.1,12507
2020-06-02,JLY20,903.3,908.9,855.1,868.7,14789
2020-06-03,JLY20,870.2,874.0,851.6,860.5,10239
2020-06-04,JLY20,857.9,871.6,845.1,865.0,10541
2020-06-05,JLY20,865.6,872.5,818.7,830.4,16343
2020-06-08,JLY20,831.1,868.9,826.9,861.2,11971
2020-06-09,JLY20,865.5,868.0,842.2,860.6,9572
